id,cluster
Sub-I_Base-C_Oxo-A_LigS-B,0
Sub-D_CA-D_Oxo-D_LigS-B,0
Sub-V_CA-A_Oxo-F_LigA-B,0
Sub-A_CA-B_Oxo-E_LigS-B,0
Sub-X_Base-A_Hyd-D_LigS-A,1
Sub-AA_Base-E_Hyd-D_LigA-A,1
Sub-I_Base-E_Hyd-E_LigS-F,1
Sub-X_Base-B_Hyd-A_LigS-B,1
Sub-W_Base-A_Hyd-C_LigS-B,1
Sub-AC_CA-B_Hyd-A_LigA-F,1
Sub-G_CA-A_Hyd-C_LigA-A,1
Sub-AC_CA-A_Hyd-C_LigS-C,1
Sub-U_CA-B_Hyd-E_LigA-D,1
Sub-W_CA-E_Hyd-A_LigS-E,1
Sub-X_CA-B_Hyd-A_LigS-C,1
Sub-AA_CA-B_Hyd-A_LigS-A,1
Sub-U_CA-E_Hyd-D_LigS-A,1
Sub-AC_CA-A_Hyd-E_LigA-E,1
Sub-AA_CA-B_Hyd-A_LigS-C,1
Sub-G_Base-A_Hyd-F_LigS-B,1
Sub-V_Base-A_Hyd-A_LigA-D,1
Sub-W_CA-B_Hyd-E_LigS-B,1
Sub-W_Base-B_Hyd-A_LigS-C,1
Sub-U_CA-A_Hyd-B_LigA-A,1
Sub-I_CA-B_Hyd-F_LigA-A,1
Sub-AC_Base-B_Hyd-A_LigS-A,1
Sub-J_Base-E_Hyd-E_LigS-E,1
Sub-U_CA-A_Hyd-E_LigS-F,1
Sub-V_Base-B_Hyd-B_LigS-F,1
Sub-Z_CA-E_Hyd-D_LigA-B,1
Sub-AB_CA-E_Hyd-A_LigS-B,1
Sub-AB_Base-A_Hyd-F_LigS-C,1
Sub-U_Base-A_Hyd-E_LigA-E,1
Sub-V_Base-B_Hyd-D_LigS-E,1
Sub-J_CA-A_Hyd-A_LigS-E,1
Sub-G_CA-A_Hyd-A_LigA-E,1
Sub-I_CA-E_Hyd-E_LigS-E,1
Sub-G_CA-B_Hyd-E_LigS-B,1
Sub-X_Base-E_Hyd-D_LigS-F,1
Sub-AC_CA-E_Hyd-C_LigS-B,1
Sub-X_Base-A_Hyd-E_LigS-B,1
Sub-AC_Base-E_Hyd-D_LigA-A,1
Sub-I_Base-B_Hyd-A_LigS-F,1
Sub-Z_Base-A_Hyd-D_LigA-E,1
Sub-AC_CA-A_Hyd-C_LigS-D,1
Sub-AA_Base-A_Hyd-D_LigS-D,1
Sub-X_CA-E_Hyd-A_LigA-B,1
Sub-U_CA-A_Hyd-D_LigA-E,1
Sub-J_CA-B_Hyd-E_LigS-B,1
Sub-AC_CA-A_Hyd-C_LigS-A,1
Sub-AB_CA-E_Hyd-B_LigA-B,1
Sub-V_CA-A_Hyd-E_LigA-E,1
Sub-J_CA-E_Hyd-E_LigS-D,1
Sub-X_CA-A_Hyd-C_LigS-A,1
Sub-G_CA-A_Hyd-B_LigS-A,1
Sub-X_Base-A_Hyd-B_LigS-F,1
Sub-I_CA-E_Hyd-B_LigS-A,1
Sub-G_Base-E_Hyd-E_LigA-B,1
Sub-AC_CA-B_Hyd-A_LigS-F,1
Sub-J_Base-A_Hyd-D_LigA-A,1
Sub-AB_CA-B_Hyd-A_LigS-E,1
Sub-AB_Base-A_Hyd-D_LigA-B,1
Sub-W_CA-B_Hyd-A_LigS-E,1
Sub-G_CA-B_Hyd-B_LigS-D,1
Sub-G_Base-A_Hyd-E_LigA-B,1
Sub-AB_CA-A_Hyd-D_LigS-B,1
Sub-AC_Base-B_Hyd-C_LigS-D,1
Sub-W_CA-A_Hyd-A_LigA-A,1
Sub-Z_Base-B_Hyd-A_LigA-D,1
Sub-U_Base-E_Hyd-B_LigA-E,1
Sub-Z_CA-A_Hyd-E_LigS-C,1
Sub-W_CA-B_Hyd-F_LigA-E,1
Sub-W_Base-A_Hyd-A_LigA-E,1
Sub-X_Base-E_Hyd-D_LigS-B,1
Sub-AA_Base-B_Hyd-F_LigA-A,1
Sub-AA_Base-A_Hyd-E_LigA-B,1
Sub-X_Base-B_Hyd-B_LigS-B,1
Sub-W_Base-E_Hyd-D_LigS-E,1
Sub-G_Base-A_Hyd-E_LigS-C,1
Sub-W_Base-B_Hyd-F_LigA-A,1
Sub-U_Base-B_Hyd-E_LigS-E,1
Sub-I_CA-A_Hyd-D_LigS-E,1
Sub-G_Base-E_Hyd-F_LigA-A,1
Sub-G_Base-E_Hyd-B_LigA-C,1
Sub-X_CA-E_Hyd-A_LigS-F,1
Sub-J_CA-E_Hyd-E_LigA-D,1
Sub-Z_Base-A_Hyd-A_LigS-E,1
Sub-AA_CA-A_Hyd-D_LigA-D,1
Sub-I_CA-B_Hyd-C_LigA-F,1
Sub-V_Base-A_Hyd-D_LigA-A,1
Sub-Z_Base-A_Hyd-B_LigS-D,1
Sub-I_CA-A_Hyd-C_LigA-D,1
Sub-AB_CA-B_Hyd-B_LigS-E,1
Sub-Z_Base-A_Hyd-F_LigA-C,1
Sub-W_CA-E_Hyd-D_LigA-C,1
Sub-Z_Base-A_Hyd-D_LigS-B,1
Sub-V_CA-A_Hyd-B_LigA-A,1
Sub-J_CA-E_Hyd-D_LigA-C,1
Sub-AA_CA-A_Hyd-E_LigA-A,1
Sub-AC_Base-B_Hyd-D_LigA-E,1
Sub-J_Base-A_Hyd-C_LigA-E,1
Sub-AA_Base-E_Hyd-D_LigS-B,1
Sub-W_Base-E_Hyd-B_LigA-E,1
Sub-AC_Base-B_Hyd-D_LigA-E,1
Sub-AC_Base-B_Hyd-E_LigA-A,1
Sub-W_CA-B_Hyd-B_LigS-F,1
Sub-I_Base-A_Hyd-F_LigS-F,1
Sub-AB_Base-B_Hyd-D_LigA-C,1
Sub-Z_Base-B_Hyd-A_LigA-C,1
Sub-Z_CA-A_Hyd-D_LigS-E,1
Sub-X_CA-A_Hyd-C_LigA-C,1
Sub-G_CA-A_Hyd-D_LigS-E,1
Sub-Z_CA-E_Hyd-D_LigS-E,1
Sub-V_CA-E_Hyd-D_LigS-F,1
Sub-AA_CA-E_Hyd-B_LigA-C,1
Sub-U_CA-E_Hyd-A_LigS-A,1
Sub-AA_CA-E_Hyd-D_LigA-E,1
Sub-U_CA-B_Hyd-A_LigS-C,1
Sub-U_Base-A_Hyd-B_LigA-A,1
Sub-AC_CA-B_Hyd-E_LigS-B,1
Sub-AB_CA-B_Hyd-C_LigS-A,1
Sub-G_Base-A_Hyd-D_LigA-F,1
Sub-AA_CA-E_Hyd-B_LigA-E,1
Sub-W_Base-B_Hyd-F_LigS-E,1
Sub-V_CA-A_Hyd-E_LigS-C,1
Sub-J_Base-A_Hyd-E_LigA-B,1
Sub-U_CA-A_Hyd-C_LigS-F,1
Sub-I_Base-B_Hyd-B_LigA-E,1
Sub-AC_CA-A_Hyd-B_LigA-F,1
Sub-G_CA-E_Hyd-E_LigA-F,1
Sub-AC_CA-B_Hyd-C_LigS-A,1
Sub-V_Base-B_Hyd-D_LigS-A,1
Sub-I_Base-B_Hyd-A_LigS-D,1
Sub-Z_CA-A_Hyd-B_LigS-B,1
Sub-AA_Base-A_Hyd-F_LigS-F,1
Sub-X_Base-A_Hyd-B_LigS-C,1
Sub-AB_Base-A_Hyd-E_LigS-E,1
Sub-G_CA-E_Hyd-E_LigA-B,1
Sub-X_CA-A_Hyd-B_LigS-C,1
Sub-V_CA-E_Hyd-A_LigS-E,1
Sub-J_CA-B_Hyd-F_LigA-F,1
Sub-G_CA-E_Hyd-C_LigA-B,1
Sub-AB_Base-E_Hyd-C_LigA-E,1
Sub-J_Base-B_Hyd-D_LigS-B,1
Sub-X_Base-E_Hyd-B_LigA-E,1
Sub-W_CA-A_Hyd-F_LigS-A,1
Sub-Z_CA-A_Hyd-B_LigA-A,1
Sub-W_Base-E_Hyd-D_LigA-D,1
Sub-I_CA-E_Hyd-E_LigS-F,1
Sub-AA_Base-A_Hyd-A_LigA-D,1
Sub-G_CA-B_Hyd-B_LigS-A,1
Sub-AB_Base-B_Hyd-A_LigS-D,1
Sub-X_CA-E_Hyd-A_LigS-A,1
Sub-AC_Base-B_Hyd-D_LigS-E,1
Sub-Z_CA-B_Hyd-A_LigA-F,1
Sub-J_CA-E_Hyd-C_LigA-F,1
Sub-Z_Base-E_Hyd-E_LigS-F,1
Sub-I_CA-A_Hyd-E_LigA-B,1
Sub-X_CA-B_Hyd-B_LigS-E,1
Sub-V_CA-E_Hyd-B_LigA-D,1
Sub-I_Base-B_Hyd-C_LigS-F,1
Sub-V_Base-E_Hyd-C_LigS-E,1
Sub-AB_CA-B_Hyd-A_LigS-A,1
Sub-I_CA-B_Hyd-E_LigS-D,1
Sub-U_CA-B_Hyd-B_LigA-A,1
Sub-X_Base-E_Hyd-D_LigA-E,1
Sub-U_Base-E_Hyd-F_LigS-C,1
Sub-Z_Base-B_Hyd-A_LigS-E,1
Sub-V_Base-A_Hyd-A_LigA-A,1
Sub-Z_CA-A_Hyd-E_LigA-E,1
Sub-AB_Base-B_Hyd-C_LigS-C,1
Sub-J_Base-E_Hyd-B_LigA-A,1
Sub-I_Base-B_Hyd-F_LigS-A,1
Sub-Z_Base-B_Hyd-A_LigS-F,1
Sub-U_CA-A_Hyd-D_LigS-A,1
Sub-W_Base-E_Hyd-B_LigS-E,1
Sub-W_CA-B_Hyd-D_LigA-D,1
Sub-V_CA-A_Hyd-E_LigS-C,1
Sub-W_Base-E_Hyd-A_LigS-D,1
Sub-J_CA-B_Hyd-F_LigS-C,1
Sub-G_Base-B_Hyd-C_LigA-D,1
Sub-V_Base-E_Hyd-C_LigS-F,1
Sub-X_Base-B_Hyd-C_LigA-D,1
Sub-U_CA-E_Hyd-A_LigA-A,1
Sub-Z_Base-A_Hyd-A_LigA-E,1
Sub-I_Base-E_Hyd-D_LigS-B,1
Sub-U_CA-E_Hyd-E_LigA-B,1
Sub-AA_Base-E_Hyd-F_LigS-E,1
Sub-U_CA-A_Hyd-A_LigA-D,1
Sub-AA_Base-A_Hyd-D_LigA-D,1
Sub-V_Base-B_Hyd-B_LigA-B,1
Sub-J_CA-B_Hyd-B_LigS-D,1
Sub-I_Base-A_Hyd-F_LigA-C,1
Sub-AA_Base-E_Hyd-C_LigA-C,1
Sub-X_CA-A_Hyd-A_LigS-D,1
Sub-G_Base-A_Hyd-C_LigA-A,1
Sub-AC_Base-E_Hyd-E_LigS-B,1
Sub-X_CA-A_Hyd-E_LigS-C,1
Sub-I_CA-E_Hyd-D_LigS-B,1
Sub-W_Base-B_Hyd-D_LigS-C,1
Sub-AC_CA-B_Hyd-B_LigS-F,1
Sub-J_CA-A_Hyd-E_LigA-E,1
Sub-J_CA-B_Hyd-F_LigS-E,1
Sub-J_CA-B_Hyd-B_LigS-A,1
Sub-AB_CA-B_Hyd-E_LigS-D,1
Sub-X_Base-E_Hyd-E_LigA-F,1
Sub-AA_CA-E_Hyd-B_LigS-B,1
Sub-AB_CA-E_Hyd-D_LigA-A,1
Sub-U_Base-E_Hyd-D_LigS-F,1
Sub-Z_CA-A_Hyd-F_LigA-C,1
Sub-X_CA-A_Hyd-B_LigA-C,1
